cell_id,green_200m,open_200m,commercial_200m,industrial_200m,residential_200m,highway_200m,majroad_200m,road_200m,busroutes_200m,rail_200m,npri_pm_200m,npri_nox_200m,busstop_200m,green_500m,open_500m,commercial_500m,industrial_500m,residential_500m,highway_500m,majroad_500m,road_500m,busroutes_500m,rail_500m,npri_pm_500m,npri_nox_500m,busstop_500m,distance_shore,distance_airport,distance_port,distance_trxstn,distance_npri_pm,distance_npri_nox,lon,lat
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29072.52996969404,19455.484405184445,34392.895904980585,17739.28010750451,12792.943921588929,15366.249263567444,-79.63981280978042,43.864270762676625
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28824.918834137436,19094.314982327352,34047.89867878636,17353.26096859622,12732.072086958708,14998.225067016543,-79.63359231825233,43.86419654240771
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28583.6057279132,18739.5265641444,33706.78744928018,16973.19279793558,12690.622722077336,14638.029030291937,-79.62737185059763,43.86412198364888
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28349.057956534773,18391.48844036857,33369.68138686661,16599.484367520992,12668.786465983952,14286.253274475122,-79.62115140692487,43.86404708640366
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28121.44479995925,18050.59107775033,33036.70309778281,16232.574927572865,12666.326137418664,13943.535109621316,-79.61493098734256,43.863971850675625
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27900.93248896642,17717.24666702203,32707.97864865854,15872.935969471902,12652.152097786677,13610.558771925163,-79.60871059195921,43.86389627646832
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27687.656279991435,17391.889508160104,32383.63758121003,15521.072894701756,12657.728374064618,13288.056622953489,-79.60249022088335,43.863820363785344
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27481.822843545673,17074.976189382767,32063.812915827715,15177.526521615073,12683.028915746972,12976.809605816115,-79.59626987422345,43.863744112630314
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27280.426482241688,16766.985509385464,31748.641142752393,14842.874345153865,12677.646716816016,12677.646716816016,-79.59004955208805,43.863667523006825
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27086.58816426469,16468.418086625472,31438.26219944949,14517.731445984307,12391.443217284585,12391.443217284585,-79.58382925458564,43.863590594918534
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26900.647719115783,16179.795594501156,31132.819432736735,14202.750925416243,12119.11728377842,12119.11728377842,-79.57760898182472,43.86351332836907
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26722.770010525674,15901.659557536155,30832.459544146604,13898.62372183298,11829.0840186545,11861.624781991832,-79.57138873391378,43.86343572336211
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26551.51896455079,15634.569641910037,30537.332516962077,13606.077644670278,11517.945483570713,11619.951858745231,-79.56516851096131,43.86335777990133
